congress,chamber,bioguide_id,name,party,PORTMAN_attract,PORTMAN_offer
98,house,A000022,GARY ACKERMAN,D,0.275920630312894,0.06472555528650606
98,house,A000052,JOSEPH ADDABBO,D,0.36548985995531336,0.1283738703138902
98,house,A000069,DANIEL AKAKA,D,0.357719729684253,0.10932118461751741
98,house,A000076,DONALD ALBOSTA,D,0.31766410136148915,0.11731097406152634
98,house,A000103,WILLIAM ALEXANDER,D,0.3786198479633555,0.08606627885526678
98,house,A000189,GLENN ANDERSON,D,0.3523466159253048,0.07449715677835983
98,house,A000207,IKE ANDREWS,D,0.3106797448984916,0.08178568272202363
98,house,A000212,FRANK ANNUNZIO,D,0.42177265212762355,0.2549506302765075
98,house,A000213,BERYL ANTHONY,D,0.3493357498428519,0.1074362809558879
98,house,A000214,DOUGLAS APPLEGATE,D,0.4837511682213091,0.23524955425146177
98,house,A000215,BILL ARCHER,R,0.5993307454598884,0.5401603103087868
98,house,A000224,LES ASPIN,D,0.3347133409540094,0.10740016532314418
98,house,A000337,LES AUCOIN,D,0.30724472265554215,0.10992431323878973
98,house,B000024,ROBERT BADHAM,R,0.5066898610821248,0.2789603090877595
98,house,B000153,DOUG BARNARD,D,0.22929878265757256,0.13829015875627196
98,house,B000160,MICHAEL BARNES,D,0.21081044445854094,0.06121051776304749
98,house,B000204,STEVE BARTLETT,R,0.416997108551602,0.3397413995883563
98,house,B000229,HERBERT BATEMAN,R,0.4079977281476873,0.6145513156274158
98,house,B000236,JIM BATES,D,0.18878779968776963,0.12533419522656114
98,house,B000298,BERKLEY BEDELL,D,0.38748472176869886,0.19518099004438902
98,house,B000318,ANTHONY BEILENSON,D,0.2677026415092701,0.1545513055931689
98,house,B000371,CHARLES BENNETT,D,0.3844638116599435,0.29979721726676
98,house,B000403,DOUGLAS BEREUTER,R,0.5679355121292264,0.7151301965147752
98,house,B000410,HOWARD BERMAN,D,0.3780201018267304,0.041224052789221165
98,house,B000422,EDWIN BETHUNE,R,0.2391312129378415,0.6491670168433327
98,house,B000432,MARIO BIAGGI,D,0.44175796171890674,0.12307848377892344
98,house,B000463,MICHAEL BILIRAKIS,R,0.6227628349451543,0.6293561982094081
98,house,B000556,THOMAS BLILEY,R,0.40993481184911434,0.3386287459902964
98,house,B000592,CORINNE BOGGS,D,0.3319252883140088,0.19630804315244132
98,house,B000600,EDWARD BOLAND,D,0.3874687172980954,0.08710524211543431
